Countries,BELONG,Ranking,total
Albania,0.373005587,55,396.6818954
Argentina,-0.19881509,53,403.2367251
Australia,-0.181676133,20,501.9880272
Austria,0.560601215,19,502.4337151
Belgium,-0.039274697,13,514.0842441
Brazil,-0.166016085,58,392.8273568
Bulgaria,-0.093968537,44,445.1978355
Canada,-0.083195648,15,511.6106891
Chile,0.201121724,41,456.5775409
China,-0.337580881,1,553.4502667
Colombia,0.223044842,54,403.0187956
Costa Rica,0.388272506,47,425.2346288
Croatia,0.125495631,35,481.5036422
Czech Republic,-0.359657971,8,519.891674
Denmark,-0.02658175,32,483.9945592
England,-0.043862785,22,499.1334013
Estonia,-0.326740436,6,527.9302474
Finland,-0.170827174,11,515.2165205
France,-0.102724841,18,503.2678289
Germany,0.276984471,12,515.1239809
Greece,-0.150180473,39,466.181525
Hungary,0.121621878,27,494.2307456
Iceland,0.35195739,30,484.5867445
Indonesia,0.010395879,59,385.1605289
Ireland,-0.023074152,10,515.6775023
Israel,0.418217005,37,477.7887935
Italy,-0.201489746,26,495.826453
Japan,-0.16215625,3,540.0203954
Jordan,-0.007367844,57,394.6832185
Kazakhstan,0.383846354,49,417.1462334
Latvia,-0.213794964,23,499.0666491
Liechtenstein,0.580326087,5,528.253616
Lithuania,0.150100715,31,484.5105495
Luxembourg,0.207577966,28,490.2853281
Malaysia,-0.155854459,50,414.4086811
Mexico,0.108397922,48,422.3565468
Montenegro,-0.025587374,52,411.6366592
Netherlands,-0.042304729,14,514.0688472
New Zealand,-0.143038933,16,510.7731368
South Korea,-0.320874366,2,542.4630843
Norway,0.082496676,25,496.0224317
Peru,-0.036547421,61,375.2510318
Poland,-0.323196046,7,523.1771142
Portugal,0.01051248,29,485.6748894
Qatar,-0.218385965,60,382.4260125
Republic of Serbia,0.066630894,43,445.7021128
Romania,-0.282715902,45,441.0073643
Russia,-0.214995664,34,483.4598899
Slovakia,-0.309878768,38,476.6057717
Slovenia,-0.04734943,36,480.8612603
Spain,0.341732374,24,497.8928191
Sweden,-0.038433975,33,483.5791177
Switzerland,0.364927241,17,507.5081673
Taiwan,-0.196581047,4,534.2848058
Thailand,-0.079740023,42,450.191439
Tunisia,-0.153185105,56,396.2932831
Turkey,0.127456775,40,463.1206517
United Arab Emirates,-0.002898849,46,437.783207
Uruguay,0.162005372,51,413.9577304
USA,-0.068241364,21,499.5978477
Vietnam,-0.255843173,9,515.7300154
