Countries,ESCS,Ranking,total
Argentina,-0.626648909,53,403.2367251
Australia,0.189072289,20,501.9880272
Austria,0.108332979,19,502.4337151
Belgium,0.175148597,13,514.0842441
Brazil,-1.244954884,58,392.8273568
Bulgaria,-0.229826355,44,445.1978355
Canada,0.408898848,15,511.6106891
Chile,-0.208302779,41,456.5775409
China,-0.579885561,1,553.4502667
Colombia,-1.078870735,54,403.0187956
Costa Rica,-0.970896959,47,425.2346288
Croatia,-0.348443198,35,481.5036422
Czech Republic,0.055448536,8,519.891674
Denmark,0.280490545,32,483.9945592
England,0.237421363,22,499.1334013
Estonia,0.147273112,6,527.9302474
Finland,0.345484168,11,515.2165205
France,-0.021216307,18,503.2678289
Germany,0.193472591,12,515.1239809
Greece,-0.048953054,39,466.181525
Hungary,-0.20467691,27,494.2307456
Iceland,0.782238235,30,484.5867445
Indonesia,-1.771443097,59,385.1605289
Ireland,0.128598432,10,515.6775023
Israel,0.17366009,37,477.7887935
Italy,-0.028200693,26,495.826453
Japan,-0.076682296,3,540.0203954
Jordan,-0.445237406,57,394.6832185
Kazakhstan,-0.278393657,49,417.1462334
Latvia,-0.176956211,23,499.0666491
Liechtenstein,0.298745645,5,528.253616
Lithuania,-0.129386597,31,484.5105495
Luxembourg,0.07974434,28,490.2853281
Malaysia,-0.727401119,50,414.4086811
Mexico,-1.019791654,48,422.3565468
Montenegro,-0.280424488,52,411.6366592
Netherlands,0.214193327,14,514.0688472
New Zealand,0.04909265,16,510.7731368
South Korea,0.01297491,2,542.4630843
Norway,0.46825317,25,496.0224317
Peru,-1.230338052,61,375.2510318
Poland,-0.161787281,7,523.1771142
Portugal,-0.482290592,29,485.6748894
Qatar,0.437920091,60,382.4260125
Republic of Serbia,-0.30142301,43,445.7021128
Romania,-0.46137092,45,441.0073643
Russia,-0.081217191,34,483.4598899
Slovakia,-0.15242385,38,476.6057717
Slovenia,-0.022053832,36,480.8612603
Spain,-0.110380956,24,497.8928191
Sweden,0.289555893,33,483.5791177
Switzerland,0.109549177,17,507.5081673
Taiwan,-0.389053628,4,534.2848058
Thailand,-1.100122988,42,450.191439
Tunisia,-1.224766075,56,396.2932831
Turkey,-1.456325427,40,463.1206517
United Arab Emirates,0.292867305,46,437.783207
Uruguay,-0.878796437,51,413.9577304
USA,0.260516699,21,499.5978477
Vietnam,-1.838402904,9,515.7300154
