Countries,Climate,Ranking,total
Albania,0.386653076,55,396.6818954
Argentina,-0.492073171,53,403.2367251
Australia,-0.172390072,20,501.9880272
Austria,0.225155999,19,502.4337151
Belgium,0.069513136,13,514.0842441
Brazil,-0.33224786,58,392.8273568
Bulgaria,-0.190041201,44,445.1978355
Canada,-0.022922868,15,511.6106891
Chile,-0.193700578,41,456.5775409
China,0.289103736,1,553.4502667
Colombia,-0.028620751,54,403.0187956
Costa Rica,0.035636678,47,425.2346288
Croatia,-0.126372401,35,481.5036422
Czech Republic,0.111058447,8,519.891674
Denmark,-0.045522047,32,483.9945592
England,0.133338149,22,499.1334013
Estonia,0.185977266,6,527.9302474
Finland,-0.30436437,11,515.2165205
France,-0.284066667,18,503.2678289
Germany,-0.022312999,12,515.1239809
Greece,-0.25635961,39,466.181525
Hungary,0.077221345,27,494.2307456
Iceland,-0.025472943,30,484.5867445
Indonesia,0.12822498,59,385.1605289
Ireland,0.120537376,10,515.6775023
Israel,0.273155906,37,477.7887935
Italy,-0.035610791,26,495.826453
Japan,0.67746705,3,540.0203954
Jordan,-0.264210987,57,394.6832185
Kazakhstan,0.713684757,49,417.1462334
Latvia,0.071010791,23,499.0666491
Liechtenstein,0.255837838,5,528.253616
Lithuania,0.277294843,31,484.5105495
Luxembourg,-0.023225241,28,490.2853281
Malaysia,-0.192849573,50,414.4086811
Mexico,0.063871664,48,422.3565468
Montenegro,0.001131647,52,411.6366592
Netherlands,-0.178184407,14,514.0688472
New Zealand,-0.242298892,16,510.7731368
South Korea,0.188929955,2,542.4630843
Norway,-0.081581921,25,496.0224317
Peru,-0.029308525,61,375.2510318
Poland,0.06589498,7,523.1771142
Portugal,0.02638551,29,485.6748894
Qatar,-0.32218294,60,382.4260125
Republic of Serbia,-0.158864529,43,445.7021128
Romania,0.008266826,45,441.0073643
Russia,0.296475552,34,483.4598899
Slovakia,-0.127589491,38,476.6057717
Slovenia,-0.032052646,36,480.8612603
Spain,-0.026668068,24,497.8928191
Sweden,-0.195059133,33,483.5791177
Switzerland,0.050123474,17,507.5081673
Taiwan,-0.001783932,4,534.2848058
Thailand,0.069313972,42,450.191439
Tunisia,-0.422515206,56,396.2932831
Turkey,-0.077602137,40,463.1206517
United Arab Emirates,-0.005001352,46,437.783207
Uruguay,-0.160525074,51,413.9577304
USA,0.11675981,21,499.5978477
Vietnam,0.372835956,9,515.7300154
